Facility Name,address,city,state,zip,pass fail,score
MONTA VISTA HIGH SCHOOL,21840 MC CLELLAN RD,CUPERTINO,CA,95014,Pass,92
HOMESTEAD FAMILY FUN CENTER,20990 HOMESTEAD RD,CUPERTINO,CA,95014,Closure,90
VENUS TAM'S CAFE,20956 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,85
SUBWAY SANDWICHES & SALAD-20916,20916 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,89
THAI DELIGHT,20916 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,93
SHANGHAI GARDEN RESTAURANT,20956 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,85
MCDONALD'S,10990 N STELLING RD,CUPERTINO,CA,95014,Pass,98
GUMBA'S RESTAURANT,21678 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,79
VIVI'S,21731 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,95*
BLUE PHEASANT RESTAURANT,22100 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,82
STEVENS CREEK MARKET & LIQUOR,10629 S FOOTHILL BL,CUPERTINO,CA,95014,Pass,63
JUDY'S KITCHEN,10635 S FOOTHILL BL,CUPERTINO,CA,95014,Pass,71
JUICE 4 U CAFE,10631 S FOOTHILL BL,CUPERTINO,CA,95014,Pass*,89*
LHCF - SUNNY VIEW RETIREMENT COMMUNITY,22445 CUPERTINO RD,CUPERTINO,CA,95014,Pass,85
STEVENS CREEK ELEMENTARY SCHOOL,10300 AINSWORTH DR,CUPERTINO,CA,95014,Pass,100
LHCF - CUPERTINO HEALTHCARE & WELLNESS CENTER,22590 VOSS AV,CUPERTINO,CA,95014,Pass,86
COCHI JAPANESE FUSION TAPAS,19980 E HOMESTEAD RD,CUPERTINO,CA,95014,Pass,84
PEET'S COFFEE & TEA,22350 HOMESTEAD RD,CUPERTINO,CA,95014,Pass,98
BOUDIN SF - BAKERY,20682 STEVEN CREEK BL,CUPERTINO,CA,95104,Pass,98
RUCKER ELEMENTARY SCHOOL,325 SANTA CLARA AV,GILROY,CA,95020,Pass,100
